n_alt,n_crit,kappa_max,kappa_min,nu,log_nu,delta_w,tau_wsm,rho_wsm,identical_wsm,tau_topsis,rho_topsis,identical_topsis,tau_topsis_minmax,rho_topsis_minmax,identical_topsis_minmax
4,4,0.5507693463832484,0.16519508423370452,3.334054090863447,0.5229726414346849,0.19944729899682173,0.6666666666666666,0.8,False,0.6666666666666666,0.8,False,1.0,1.0,True
8,5,0.6512133818861772,0.04680967295167539,13.91194043471644,1.1433877095258993,0.2870612430922407,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9285714285714286,False
8,3,0.5969254340051694,0.14713312788637514,4.057043050577252,0.6082096161659838,0.2674912834493308,0.5,0.6666666666666667,False,0.35714285714285715,0.47619047619047616,False,0.7857142857142857,0.9047619047619048,False
8,3,0.35162849452215883,0.12335889221611814,2.850451136536426,0.45491360057099234,0.130331574533963,0.8571428571428571,0.9285714285714286,False,0.6428571428571429,0.7857142857142857,False,0.8571428571428571,0.9523809523809523,False
6,3,0.683239837778337,0.02404416529783455,28.416034796244492,1.4535634759048035,0.5069871411976028,0.6,0.7714285714285715,False,0.3333333333333333,0.37142857142857144,False,1.0,1.0,True
10,3,0.5972227660336745,0.009069206201367806,65.85171322686989,1.8185670782392918,0.4342418694380176,0.5111111111111111,0.7212121212121212,False,0.4222222222222222,0.6606060606060606,False,0.8666666666666667,0.9393939393939394,False
5,4,0.592965989579855,0.10592356719165114,5.598055327020693,0.7480371863954255,0.3453609568182012,0.0,0.09999999999999998,False,0.0,0.09999999999999998,False,0.8,0.9,False
10,3,0.6362187922385129,0.2172692366908547,2.9282506899071015,0.46660825427939623,0.1726994987956021,0.7777777777777778,0.8545454545454545,False,0.6444444444444445,0.7575757575757576,False,0.7333333333333333,0.8787878787878788,False
8,4,0.7016289613232175,0.29721535276778643,2.36067536480539,0.3730362679057725,0.1010778235279313,0.9285714285714286,0.9761904761904762,False,0.8571428571428571,0.9523809523809523,False,0.8571428571428571,0.9523809523809523,False
5,5,0.12864039435704028,0.01336698677858213,9.6237391775936,0.983343844250033,0.370634136488772,0.4,0.5,False,0.2,0.19999999999999996,False,0.8,0.9,False
4,3,0.49052557725547863,0.02019931010148783,24.28427380770116,1.38532512094376,0.15904866615773142,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
6,4,0.28124322347548464,0.09563807798143371,2.9407034249176554,0.4684512273576599,0.10008449831530095,1.0,1.0,True,1.0,1.0,True,1.0,1.0,True
